transaction_text,category
Ajio clothing INR 46150 TXN628eb730,shopping
Internet recharge INR 2499 TXNb910c5d6,utilities
Zerodha stock buy INR 38274 TXN1b6ada8d,investment
Pharmacy medicine purchase INR 2400 TXN7271e77f,healthcare
Tuition fees payment INR 20888 TXNfa10e78b,education
School fees INR 18954 TXNc3b530ef,education
Indian Oil fuel INR 9174 TXNcdc9892f,travel
Flight ticket booking INR 21553 TXNd7ab7e70,travel
Monthly EMI debit INR 1445 TXN7046d149,emi
Laptop EMI payment INR 38355 TXN960d211e,emi
Netflix subscription INR 12158 TXNeb47eae4,entertainment
Bowling alley INR 2120 TXNfe17d702,entertainment
Goibibo hotel INR 27647 TXN4c5fb797,travel
PVR cinemas INR 41161 TXN1e5064f8,entertainment
Clothing store bill INR 37539 TXNd5baa7f5,shopping
Cab fare payment INR 3063 TXN762ed8eb,travel
Two wheeler loan payment INR 18941 TXN1473d170,emi
Steam games purchase INR 43289 TXN80141acc,entertainment
Petrol pump HP INR 26863 TXNa6d710c4,travel
Uber ride INR 33834 TXN2e569d98,travel
Pizza delivery INR 10637 TXN8c8050ee,food
Diesel purchase INR 24365 TXNe5747340,travel
Rapido bike ride INR 15575 TXN42a340fe,travel
Amazon purchase INR 39047 TXN4ee16654,shopping
Hotstar subscription INR 36157 TXN10935593,entertainment
Pharmacy medicine purchase INR 46552 TXNb049465f,healthcare
Jewellery purchase INR 687 TXNb446b582,shopping
Equity investment INR 26907 TXN4daf5025,investment
Gold bond purchase INR 44266 TXN16b1c296,investment
Consumer durable EMI INR 33998 TXN700da514,emi
Bowling alley INR 43265 TXNd4b72b71,entertainment
Jio fiber broadband INR 1981 TXNff3562b8,utilities
Haldiram sweets INR 32511 TXNf2f51d1e,food
Bus ticket INR 12650 TXNf44ffcbb,travel
Uber ride INR 5951 TXNf8f3507e,travel
Music streaming INR 32999 TXNca24f3af,entertainment
Textbook purchase INR 39567 TXN8f47c95a,education
Byjus subscription INR 49782 TXNe4882644,education
Hostel fees INR 39814 TXN7bc5ff7a,education
Tea stall INR 48457 TXNe05c262d,food
Fruit vendor INR 8506 TXN6e01225b,food
Snapdeal buy INR 20881 TXN8f8c2865,shopping
Ambulance charges INR 47568 TXN8469f5a5,healthcare
Zomato dinner INR 9115 TXN8101ac61,food
Furniture order INR 11505 TXN71850a61,shopping
Internet recharge INR 2748 TXN595b2aff,utilities
Grocery store bill INR 2920 TXNce546d70,food
Milk dairy payment INR 42002 TXN6105c9de,food
Airport taxi INR 40297 TXN32bed509,travel
1mg medicine order INR 41364 TXNd6679bf0,healthcare
Footwear shop INR 68 TXNf146a630,shopping
Furniture order INR 32316 TXNee942c86,shopping
MakeMyTrip booking INR 17729 TXN11688118,travel
MedPlus store INR 31696 TXN23916f43,healthcare
Coaching class fee INR 28686 TXNc3111beb,education
Bus ticket INR 9059 TXN08e6ee73,travel
OTT subscription INR 29752 TXNa8ea827a,entertainment
PharmEasy medicines INR 19414 TXN98e8867b,healthcare
PVR cinemas INR 13625 TXNc1eb0fae,entertainment
Grocery store bill INR 42445 TXN35cd515e,food
DTH recharge INR 40894 TXN5298a729,utilities
Electronics shopping INR 12799 TXN8d640d23,shopping
Consumer durable EMI INR 472 TXNc9312e83,emi
SIP installment INR 45708 TXN6e9d8e3b,investment
Petrol pump HP INR 22851 TXN572ace9a,travel
FASTag recharge INR 16313 TXN899cbda4,travel
Pantaloons purchase INR 39805 TXN14de3bab,shopping
Licious meat order INR 1023 TXN5c904261,food
Two wheeler loan payment INR 23135 TXNa0454dac,emi
Zomato dinner INR 17409 TXN2b8b695f,food
Health insurance premium INR 38456 TXN388f4581,healthcare
Tuition fees payment INR 40666 TXN12736a3b,education
SIP installment INR 8289 TXNaa90b3bc,investment
Milk dairy payment INR 41155 TXN577ac951,food
Stationery purchase INR 40557 TXN2ae434a2,shopping
Internet recharge INR 49388 TXN98346219,utilities
Supermarket purchase INR 2090 TXN29c01c56,food
Gift shop INR 3302 TXNf0f42701,shopping
Shoppers Stop INR 41351 TXN65610b1b,shopping
Tuition fees payment INR 29130 TXNb54ac8fa,education
Clinic visit INR 26284 TXN2f510143,healthcare
Pantaloons purchase INR 33500 TXN1503ffac,shopping
Ola cab INR 48273 TXNbb88f76f,travel
Practo consultation INR 34538 TXN68cd9afb,healthcare
Licious meat order INR 39200 TXN8791bdac,food
Mobile recharge INR 17416 TXN593c16eb,utilities
Exam fee INR 44846 TXNd392db84,education
Medical test charges INR 25882 TXN5e1507b7,healthcare
Grofers online INR 40795 TXN9a0ed42b,food
Myntra fashion order INR 972 TXNec800b3e,shopping
KFC order INR 43331 TXN13826b70,food
Semester fee INR 35276 TXN2d088c78,education
Barbeque Nation INR 44670 TXNdaea479b,food
KFC order INR 28738 TXN106541fd,food
Tata Power bill INR 9526 TXN2b64c7a1,utilities
Gas bill payment INR 11774 TXN88bc9ab6,utilities
PlayStation store INR 39489 TXN3e251dff,entertainment
Business loan installment INR 17289 TXNa063e03d,emi
Unacademy plan INR 11086 TXNd01b8ab2,education
Education loan installment INR 34559 TXN75eb7666,emi
Auto rickshaw INR 15219 TXNe8b5f112,travel
Electricity bill payment INR 6207 TXN8f7a45a0,utilities
ACT Fibernet bill INR 2162 TXN6fef3a33,utilities
Cult Fit subscription INR 40505 TXNc39a06ce,healthcare
Education loan installment INR 11407 TXN9a59a328,emi
Train ticket IRCTC INR 47144 TXN2bc9c2de,travel
Stock purchase INR 43059 TXNd2565d33,investment
Swiggy order INR 19015 TXNfdd67d25,food
PlayStation store INR 33092 TXNd7b2a1df,entertainment
Sewage charges INR 47903 TXNbffc71e1,utilities
DTH recharge INR 46487 TXN4317cb39,utilities
Yatra travel booking INR 30261 TXN0e6b7665,travel
Food court payment INR 10699 TXNfce0b5ec,food
Tea stall INR 40992 TXNc276a374,food
Upstox trading INR 30222 TXN2dfe3d02,investment
Fixed deposit investment INR 16599 TXNecd855a1,investment
Ambulance charges INR 38398 TXNd42811bd,healthcare
Credit card EMI INR 45956 TXN9bdb2a25,emi
Crypto investment INR 3466 TXNa5449647,investment
Zepto groceries INR 5417 TXN7b0f31f0,food
IndiGo flight INR 15734 TXN8c685487,travel
DTH recharge INR 20220 TXN48c1569f,utilities
Internet recharge INR 7949 TXNd3a90c64,utilities
Furniture order INR 49213 TXN90c7886a,shopping
Movie ticket booking INR 3986 TXN4d21f36a,entertainment
Reliance Digital INR 38396 TXN78e29b26,shopping
Canteen payment INR 30310 TXN70d1dd98,food
Amazon Prime subscription INR 34794 TXNd742c247,entertainment
MakeMyTrip booking INR 28351 TXN296c4314,travel
Society maintenance INR 18544 TXNd3b65668,utilities
Online course subscription INR 30128 TXN40216c8e,education
Train ticket IRCTC INR 19020 TXNe091f4f8,travel
Grocery store bill INR 28554 TXN4ff1a5ca,food
Byjus subscription INR 49305 TXNb87bbaeb,education
OTT subscription INR 48691 TXNf4acdeeb,entertainment
Bond purchase INR 22491 TXNf7b74027,investment
Online course subscription INR 26976 TXN6f26b6e3,education
Canteen payment INR 16286 TXNbf895e6c,food
Airport taxi INR 19826 TXN5fb6a75b,travel
Auto rickshaw INR 35540 TXN5def0adb,travel
BookMyShow tickets INR 36275 TXNd1d7f9d4,entertainment
Cafe Coffee Day INR 25908 TXN087aa9df,food
DTH recharge INR 5795 TXN7bef4958,utilities
Cosmetics purchase INR 6595 TXNbc8d3cb7,shopping
Groww mutual fund INR 7416 TXN7f3f4155,investment
College fees payment INR 10352 TXNe5821759,education
Udemy course purchase INR 19179 TXNa1bee6c1,education
Croma electronics INR 39647 TXNfae8a75d,shopping
Lunch at hotel INR 43426 TXNb24f98b0,food
Municipal tax payment INR 28958 TXNa421f818,utilities
Rapido bike ride INR 29307 TXN9b0b633d,travel
Mall purchase INR 25034 TXN5ced964c,shopping
Cafe Coffee Day INR 4984 TXN2fdbffc5,food
ACT Fibernet bill INR 11654 TXNefd75736,utilities
Electronics shopping INR 26866 TXNfef2d215,shopping
Croma electronics INR 10334 TXN8772c554,shopping
Textbook purchase INR 673 TXN0c09f180,education
Pizza delivery INR 47886 TXNbb6a5e73,food
Ajio clothing INR 40531 TXN11133483,shopping
Air India ticket INR 15107 TXN3de701ee,travel
Water bill INR 39285 TXNe8124450,utilities
Jio fiber broadband INR 17830 TXNae514e6f,utilities
Bharat Petroleum fuel INR 48069 TXN1fabdc6f,travel
Car loan EMI INR 35279 TXNfed4c1f1,emi
Stock purchase INR 28161 TXN3283cdf3,investment
BSNL landline INR 21206 TXN5616842b,utilities
Meesho order INR 46606 TXNaf8b5157,shopping
Mutual fund SIP INR 25846 TXN34ead079,investment
Subway sandwich INR 26970 TXN0bbc6adf,food
Lifestyle store INR 48640 TXNe56a823d,shopping
Toll plaza payment INR 19661 TXN2cc2f280,travel
Coaching class fee INR 39416 TXN15ebbacf,education
Furniture order INR 5193 TXNaa9c8079,shopping
Laptop EMI payment INR 31272 TXN53cec1eb,emi
Mutual fund SIP INR 16418 TXNddd4740a,investment
Metro card recharge INR 30397 TXNc985016f,travel
Semester fee INR 45611 TXN28c12328,education
Bus ticket INR 16856 TXNb3d4841b,travel
Footwear shop INR 45732 TXNa06acd79,shopping
Petrol pump HP INR 29606 TXN9df7368a,travel
Parking fee INR 880 TXNbb2f8cb2,travel
Restaurant bill INR 1017 TXNfed27360,food
Gas bill payment INR 27309 TXNdc098bd1,utilities
Health insurance premium INR 1944 TXN63e4fa38,healthcare
Railway reservation INR 31443 TXN0423e8ac,travel
Auto rickshaw INR 6862 TXN3f6ff240,travel
Postpaid bill payment INR 5581 TXNf9ddc66a,utilities
Demat account funding INR 30824 TXNf5c7eac6,investment
Ambulance charges INR 11019 TXN0e79d65a,healthcare
Maintenance charges INR 29227 TXN2f11dc67,utilities
Haldiram sweets INR 1055 TXNb6a27f5b,food
Hostel fees INR 41866 TXNfd050c57,education
Eye checkup INR 41443 TXNfcef6ebd,healthcare
Vi prepaid recharge INR 47199 TXN15ebce66,utilities
Index fund purchase INR 9472 TXNaa917914,investment
Medical test charges INR 11079 TXNbd9a3f0c,healthcare
Tata Cliq purchase INR 39167 TXN0e9a795c,shopping
Laptop EMI payment INR 25221 TXNc6191d1c,emi
Water bill INR 42297 TXNcc73b52e,utilities
Training program fee INR 44875 TXN81a554d3,education
KFC order INR 38619 TXNf499bf33,food
Burger King INR 43967 TXN1267a6c0,food
Petrol pump HP INR 12965 TXN74d8a999,travel
Textbook purchase INR 49196 TXN2c4e6a9d,education
Reliance Digital INR 14178 TXN7cb16ed9,shopping
INOX movies INR 5092 TXN14b7d8a4,entertainment
Myntra fashion order INR 39133 TXN86a2f7c2,shopping
Grofers online INR 20531 TXNa52e1d11,food
Petrol pump HP INR 20574 TXN142b8626,travel
Cafe coffee INR 36204 TXNb81fb205,food
College fees payment INR 34056 TXN755bb746,education
Loan repayment INR 5055 TXN487b5e3b,emi
Coursera subscription INR 13993 TXN71da5134,education
IndiGo flight INR 29527 TXNd1b34a9d,travel
Lunch at hotel INR 24886 TXN06ec4bbc,food
Parking fee INR 3844 TXN3e190aa2,travel
Textbook purchase INR 10937 TXN1111037c,education
PharmEasy medicines INR 40468 TXN5ab64201,healthcare
Dominos pizza INR 48352 TXNa51a55db,food
Laptop EMI payment INR 9227 TXN4c46ea67,emi
Surgery payment INR 13239 TXNc5abf959,healthcare
Electricity bill payment INR 41528 TXN60c963f9,utilities
Barbeque Nation INR 19849 TXN367399f4,food
Personal loan installment INR 19098 TXNd82214b7,emi
Lab test diagnostic INR 46885 TXNea8954cb,healthcare
Certification exam fee INR 47023 TXN3bcb0d27,education
NPS contribution INR 23158 TXN56b6c5ca,investment
MakeMyTrip booking INR 39083 TXN6c04f75f,travel
Doctor consultation INR 26332 TXN992f2908,healthcare
MedPlus store INR 44162 TXNa57f23b1,healthcare
Gym membership INR 37399 TXNdeb4d0fa,healthcare
Upstox trading INR 45648 TXNb60f5ba1,investment
Index fund purchase INR 11759 TXNaad155f9,investment
Electronics shopping INR 11638 TXN5073c92c,shopping
Chinese takeaway INR 1382 TXN67af40c5,food
Gym membership INR 3127 TXN46703190,healthcare
IndiGo flight INR 30394 TXNe8f8233a,travel
Gaming top up INR 5968 TXN6dd3981a,entertainment
Two wheeler loan payment INR 596 TXN7a72f9a4,emi
1mg medicine order INR 35346 TXN3477022b,healthcare
Study material purchase INR 48934 TXN0685faef,education
Unacademy plan INR 24603 TXN22781933,education
Lab test diagnostic INR 9654 TXNbd10e775,healthcare
Online shopping payment INR 44758 TXN0ea904c4,shopping
Train ticket IRCTC INR 28079 TXN81a22534,travel
Housing loan payment INR 34057 TXN4f7f3e4a,emi
BigBasket grocery INR 11576 TXNcb78e127,food
INOX movies INR 45481 TXNcf1e71e4,entertainment
Zepto groceries INR 41156 TXN3b4acc90,food
Tata Power bill INR 47129 TXNb1ba1bbf,utilities
1mg medicine order INR 26243 TXN799ad7b8,healthcare
1mg medicine order INR 27706 TXN984ae19a,healthcare
Sovereign gold bond INR 22010 TXN29686960,investment
Credit card EMI INR 42558 TXN6e332498,emi
Surgery payment INR 44503 TXN23d805fa,healthcare
Home loan EMI INR 20876 TXNd3070417,emi
Myntra fashion order INR 2498 TXN6ac9901d,shopping
Restaurant bill INR 42398 TXN165d3376,food
Event ticket INR 18251 TXNee5bd0f9,entertainment
Restaurant bill INR 31046 TXNc31667ba,food
Vi prepaid recharge INR 35585 TXN2a9a32be,utilities
Postpaid bill payment INR 43248 TXN7c4b7cd5,utilities
Bakery purchase INR 6063 TXNb3655bc9,food
Airport taxi INR 32308 TXN82009075,travel
School fees INR 33304 TXN1b4b3234,education
Tuition fees payment INR 21306 TXNfbafb5ae,education
PPF contribution INR 14324 TXN90e88b4d,investment
Concert ticket INR 2477 TXN55b63a8f,entertainment
Eye checkup INR 33876 TXNc5020cf1,healthcare
Train ticket IRCTC INR 11523 TXN6de0dc2b,travel
Jio fiber broadband INR 46742 TXN03856255,utilities
Grocery store bill INR 48763 TXN7f52b5c4,food
LPG cylinder booking INR 19883 TXN341cce70,utilities
Hotel booking INR 7824 TXN288b3004,travel
Meesho order INR 4115 TXNb4c0d1db,shopping
Recurring deposit INR 15800 TXN4f99c05f,investment
Cab fare payment INR 3501 TXN2cff174d,travel
Dominos pizza INR 42956 TXN57a8cfba,food
Spotify premium INR 9829 TXNaf72a0a4,entertainment
Car rental INR 10709 TXN7c00415e,travel
Exam fee INR 49933 TXNfd3b3398,education
Hospital bill INR 35945 TXNb700aac2,healthcare
Business loan installment INR 2367 TXN516bee72,emi
NPS contribution INR 19813 TXN94e4754e,investment
Blinkit delivery INR 25574 TXNe9bdc605,food
RedBus ticket INR 10151 TXNbc1f768e,travel
Reliance Digital INR 43232 TXN35df48b0,shopping
Bike loan EMI INR 15934 TXNab31f003,emi
Decathlon sports INR 37971 TXN82a5ad86,shopping
Ambulance charges INR 16116 TXN86e707d4,healthcare
Nykaa beauty INR 7451 TXNe71a0d8b,shopping
Cult Fit subscription INR 29308 TXN91005d12,healthcare
University fee INR 44007 TXNacda4a51,education
YouTube Premium INR 23758 TXN99da7b18,entertainment
RedBus ticket INR 45381 TXN60fbc9e1,travel
Railway reservation INR 12315 TXN47299a7e,travel
MedPlus store INR 3133 TXNf54a2d8c,healthcare
BSNL landline INR 18034 TXN563309f8,utilities
Zepto groceries INR 45890 TXN459fbc24,food
Meesho order INR 7027 TXN02a3c244,shopping
Eye checkup INR 47337 TXNbe048eb7,healthcare
Home loan EMI INR 39465 TXN5694adfe,emi
Study material purchase INR 8990 TXN78feb69e,education
Metro card recharge INR 41321 TXN2a609396,travel
Toll plaza payment INR 7953 TXNf6216b15,travel
Lunch at hotel INR 49324 TXNe0991882,food
Coursera subscription INR 43573 TXN22615833,education
PlayStation store INR 22845 TXN5dc981dc,entertainment
Tata Cliq purchase INR 25448 TXN6caf0b3d,shopping
Sewage charges INR 35113 TXNc787b6fc,utilities
NPS contribution INR 31404 TXNd16b252c,investment
Health insurance premium INR 6521 TXN5656d13c,healthcare
Coursera subscription INR 14216 TXN70a8aa1b,education
Dental clinic charges INR 36555 TXN42b8abe7,healthcare
Grofers online INR 20299 TXNe522a1bf,food
Music streaming INR 3749 TXNa3a9e145,entertainment
Croma electronics INR 14659 TXNd5c9b571,shopping
Theme park ticket INR 8057 TXN47a2101a,entertainment
Amazon purchase INR 25419 TXNd68d7e71,shopping
Dunzo food INR 15523 TXNd1a8f563,food
University fee INR 29009 TXNb423bb0b,education
Yatra travel booking INR 29685 TXN8811c10c,travel
Loan repayment INR 24097 TXNc4a84b80,emi
Fruit vendor INR 13221 TXNc37597f2,food
Dunzo food INR 8302 TXNc3d89d3c,food
Shoppers Stop INR 3032 TXNb1e1c41c,shopping
Hotstar subscription INR 35022 TXN4e672750,entertainment
MakeMyTrip booking INR 45224 TXNb8f06d5c,travel
Railway reservation INR 11834 TXN090c4c75,travel
IKEA furniture INR 33908 TXNf990ba41,shopping
Snapdeal buy INR 21082 TXN6c14b08c,shopping
Toll plaza payment INR 28086 TXN3b2a2e4a,travel
1mg medicine order INR 31838 TXN7d939d00,healthcare
Apollo pharmacy INR 30735 TXN6e722ed8,healthcare
Dunzo food INR 27239 TXNad9f4b37,food
Hotel booking INR 30987 TXN06ccfa6f,travel
SIP installment INR 20167 TXN8dba7658,investment
PPF contribution INR 8764 TXN4ca3d805,investment
Bookstore payment INR 39737 TXN39a2c5a7,shopping
Vi prepaid recharge INR 40156 TXN9999301c,utilities
Bond purchase INR 14036 TXN0dfa4a11,investment
Sewage charges INR 35843 TXN900759f1,utilities
Nykaa beauty INR 47483 TXN9fa58b1a,shopping
Training program fee INR 3514 TXNea5ca677,education
Practo consultation INR 32083 TXN08107475,healthcare
Consumer durable EMI INR 6839 TXN7d7016fd,emi
Hostel fees INR 45877 TXNc37ad8a0,education
Stock purchase INR 48670 TXNd611028c,investment
Toll plaza payment INR 42649 TXN253be973,travel
IndiGo flight INR 13931 TXNef1f7393,travel
Clinic visit INR 36390 TXN33241d2a,healthcare
Vehicle loan EMI INR 35468 TXNb9517835,emi
Fruit vendor INR 22726 TXNf8413f4a,food
Amazon Prime subscription INR 44771 TXN8257a41d,entertainment
Airtel postpaid payment INR 22546 TXNb1703838,utilities
Bookstore payment INR 17579 TXN96ecfb87,shopping
Amazon purchase INR 11005 TXNfc26f6fa,shopping
Spotify premium INR 1954 TXN71eb953a,entertainment
SpiceJet airlines INR 48628 TXN24e96256,travel
Broadband payment INR 12066 TXNbace7075,utilities
Game purchase INR 38191 TXN01d9c070,entertainment
Myntra fashion order INR 3211 TXNb66872ba,shopping
Netflix subscription INR 41867 TXN1f196cac,entertainment
Crypto investment INR 3435 TXN44456500,investment
Groww mutual fund INR 31535 TXNced47384,investment
Snapdeal buy INR 42602 TXN0a7e99fa,shopping
Workshop registration INR 19750 TXN0fe48275,education
Fruit vendor INR 20826 TXNa7a5eca2,food
OTT subscription INR 5074 TXNa4c68369,entertainment
Train ticket IRCTC INR 32419 TXNe284c5ba,travel
Netflix subscription INR 42933 TXN97a3ac8a,entertainment
University fee INR 37777 TXN1cd6fa20,education
Stationery purchase INR 19944 TXN08c248b7,shopping
Starbucks coffee INR 49233 TXN7960d23c,food
Pantaloons purchase INR 23609 TXN2be75482,shopping
Swiggy order INR 6748 TXN11d9cb8f,food
Flight ticket booking INR 30906 TXNccdca9c8,travel
Medical test charges INR 48174 TXNec2dc4cb,healthcare
Event ticket INR 48510 TXNafbc384f,entertainment
Library fee INR 23293 TXN56a6c850,education
Mobile recharge INR 20703 TXN8fd6ad53,utilities
Subway sandwich INR 36242 TXN63d1fa2e,food
Coursera subscription INR 27685 TXN00da1f1d,education
Spotify premium INR 23767 TXNdf87a301,entertainment
ELSS investment INR 29019 TXNa2190d6d,investment
Bakery purchase INR 27193 TXN4c164a7a,food
Bharat Petroleum fuel INR 44367 TXN62aa61cc,travel
Gift shop INR 1015 TXN754cf7c5,shopping
Doctor consultation INR 29784 TXNd733fd4b,healthcare
Sweet shop INR 21508 TXNeb32f7e7,food
Ambulance charges INR 45390 TXN2e90028b,healthcare
Bookstore payment INR 11015 TXN20bafb12,shopping
Tea stall INR 49106 TXNc33fce3a,food
Furniture order INR 48247 TXN343dd5c1,shopping
Monthly EMI debit INR 38779 TXN30b9dcec,emi
Ola cab INR 3415 TXN92a9d2a0,travel
Home loan EMI INR 18686 TXN2f088507,emi
Hotel booking INR 25116 TXN7e61fd2d,travel
Udemy course purchase INR 11089 TXN1ca2530a,education
Myntra fashion order INR 20503 TXN2692d44b,shopping
Car loan EMI INR 731 TXN2fdb31bc,emi
Crypto investment INR 28175 TXN3bcb82f9,investment
Air India ticket INR 36980 TXNa2d032dd,travel
Zomato dinner INR 4387 TXN3fe5a6e7,food
Education loan installment INR 1863 TXNe0c12ec9,emi
Loan repayment INR 2915 TXN59ef26aa,emi
Food court payment INR 16403 TXNa58dfbe3,food
Concert ticket INR 35214 TXN29e02a7e,entertainment
Gold bond purchase INR 605 TXNfcf85652,investment
Personal loan installment INR 48206 TXN58a47d45,emi
Amazon Prime subscription INR 11542 TXNdba23052,entertainment
BSNL landline INR 40666 TXNad320520,utilities
Clinic visit INR 7322 TXN5375528c,healthcare
Uber ride INR 3015 TXN693818c4,travel
Yatra travel booking INR 46656 TXN358a4f06,travel
Zerodha stock buy INR 14509 TXN53ad67b6,investment
Practo consultation INR 26829 TXN15481454,healthcare
Music streaming INR 1341 TXN80a68607,entertainment
Semester fee INR 5465 TXN1ae39f7b,education
Barbeque Nation INR 15833 TXN793a7ae7,food
Lifestyle store INR 37199 TXN556033b6,shopping
Food court payment INR 30216 TXN5dd3a641,food
Certification exam fee INR 25727 TXN4de20667,education
Byjus subscription INR 36890 TXN91272308,education
Auto rickshaw INR 45972 TXNd573f2c1,travel
PlayStation store INR 34707 TXN334e8f13,entertainment
Fixed deposit investment INR 3028 TXNf0f3d788,investment
McDonalds meal INR 32220 TXN10475f4d,food
Dental clinic charges INR 48058 TXNd25d13fc,healthcare
JioCinema plan INR 12240 TXNd47d497b,entertainment
Gas bill payment INR 14199 TXNf1b8383a,utilities
Doctor consultation INR 9614 TXN0f3739a1,healthcare
Game purchase INR 38918 TXN214c2523,entertainment
PPF contribution INR 39709 TXNf5fe42e4,investment
Consumer durable EMI INR 36884 TXNb73ad44f,emi
Car rental INR 20904 TXNef39e2b3,travel
Water bill INR 41863 TXN8be95951,utilities
Vehicle loan EMI INR 11485 TXN29010ad9,emi
Railway reservation INR 38322 TXNff1a4de0,travel
McDonalds meal INR 7526 TXNd61a0294,food
Hospital bill INR 47064 TXN6e12416b,healthcare
Hotel booking INR 44188 TXNb663723e,travel
Practo consultation INR 34727 TXN137bf5f9,healthcare
Medical test charges INR 36806 TXN77dd11d2,healthcare
KFC order INR 18931 TXNbb7aecaa,food
Health insurance premium INR 27243 TXN0861f842,healthcare
Flipkart order INR 26377 TXN0e53bee0,shopping
Dunzo food INR 39108 TXN0d2242a0,food
JioCinema plan INR 28075 TXN5545fd1b,entertainment
Zerodha stock buy INR 42488 TXN44eda326,investment
Indian Oil fuel INR 7743 TXNc3c95ba2,travel
Milk dairy payment INR 11068 TXN1a83c5fa,food
Online course subscription INR 32225 TXN79b4e7bb,education
Burger King INR 27132 TXN08977042,food
RedBus ticket INR 28260 TXN113b8b35,travel
Gift shop INR 33906 TXNceca4bc6,shopping
Lifestyle store INR 6606 TXN41375ab2,shopping
School fees INR 29427 TXNf3d7f567,education
Demat account funding INR 18729 TXNdb649edf,investment
Licious meat order INR 43231 TXN87f076a7,food
College fees payment INR 5385 TXNcc926ec5,education
Coaching class fee INR 25487 TXNf55ac893,education
Music streaming INR 1507 TXNf669c1a5,entertainment
Gaming top up INR 10493 TXN40c48a0b,entertainment
Cafe Coffee Day INR 7150 TXNa79f59aa,food
Coaching class fee INR 7659 TXN9256b493,education
FASTag recharge INR 33981 TXN936acc36,travel
Mall purchase INR 5543 TXN4e63bc91,shopping
Cult Fit subscription INR 40631 TXN1aa08910,healthcare
Grofers online INR 31650 TXN31d5c9cd,food
Consumer durable EMI INR 31603 TXNbd198bb8,emi
Decathlon sports INR 27222 TXNcb7732d0,shopping
Hospital bill INR 1555 TXNeaaef3b2,healthcare
Shoppers Stop INR 28733 TXN6d023bcd,shopping
SIP installment INR 37961 TXN95ffbb52,investment
Training program fee INR 26438 TXN7208226b,education
Workshop registration INR 41309 TXNbfb35ad9,education
Upstox trading INR 12005 TXN728f7b7a,investment
Bus ticket INR 15731 TXN3a8a06b1,travel
Electronics shopping INR 12047 TXNfea33d6e,shopping
Lunch at hotel INR 38334 TXN7e808d11,food
Gym membership INR 28397 TXNd618780b,healthcare
Surgery payment INR 29188 TXN220298a5,healthcare
Stationery purchase INR 29203 TXN2f897be6,shopping
Pizza delivery INR 32856 TXNc81ad835,food
Loan repayment INR 24148 TXN55e3106c,emi
KFC order INR 13014 TXN68aed124,food
Blinkit delivery INR 49429 TXN6ed8bce7,food
Car rental INR 16403 TXNb5cb0762,travel
Tata Cliq purchase INR 12731 TXN42a22866,shopping
Uber ride INR 13095 TXN9600bc82,travel
Bharat Petroleum fuel INR 3935 TXNfd2d3bdc,travel
BSNL landline INR 32389 TXN39761938,utilities
Jewellery purchase INR 46162 TXN114de5f4,shopping
Flight ticket booking INR 43814 TXN1468eb41,travel
Mobile recharge INR 45251 TXNde899172,utilities
Municipal tax payment INR 48910 TXN494e5345,utilities
Car rental INR 27183 TXN76817daa,travel
IKEA furniture INR 29488 TXN9773629c,shopping
Sovereign gold bond INR 37920 TXN6f6b6523,investment
Fixed deposit investment INR 38644 TXN85a36e2b,investment
ACT Fibernet bill INR 2791 TXN9db6f98a,utilities
Municipal tax payment INR 319 TXN40dd5e1c,utilities
SpiceJet airlines INR 11075 TXNb5282eff,travel
Airport taxi INR 9333 TXNcddf5f61,travel
LPG cylinder booking INR 47561 TXNa8095ec1,utilities
Theme park ticket INR 26545 TXN1db4b94c,entertainment
Ola cab INR 30174 TXNe55cbab9,travel
Game purchase INR 38784 TXN1d199135,entertainment
Tata Power bill INR 8672 TXNf0c077c9,utilities
Library fee INR 25339 TXN43a1082d,education
Snapdeal buy INR 35306 TXN8a3a3ad3,shopping
Burger King INR 29031 TXNe29a7155,food
Bharat Petroleum fuel INR 3222 TXN0ad0e27f,travel
Flipkart order INR 24554 TXNd82482de,shopping
Spotify premium INR 28536 TXN49e71082,entertainment
MedPlus store INR 29431 TXNb043533e,healthcare
PVR cinemas INR 45705 TXNd7380bf2,entertainment
LPG cylinder booking INR 9834 TXN40fad969,utilities
Exam fee INR 19676 TXN45ffdc0a,education
Gold bond purchase INR 38477 TXNd02a1af3,investment
SIP installment INR 39433 TXN65ff90d0,investment
Haldiram sweets INR 42637 TXN15a8fae7,food
Steam games purchase INR 1188 TXN745de9c5,entertainment
Zerodha stock buy INR 9771 TXNe122d37b,investment
Society maintenance INR 43466 TXN228d564d,utilities
Jewellery purchase INR 39788 TXNf7602888,shopping
Ola cab INR 33454 TXN8b4d5af9,travel
BSNL landline INR 37935 TXNd4e062a9,utilities
Gold bond purchase INR 14182 TXNcac2f8ba,investment
Flipkart order INR 26978 TXN4a97269a,shopping
Coursera subscription INR 35551 TXN663150a0,education
BookMyShow tickets INR 41470 TXN54509417,entertainment
PharmEasy medicines INR 3016 TXN1e497a94,healthcare
Textbook purchase INR 22533 TXNfdfa6055,education
Pharmacy medicine purchase INR 36721 TXN0227571b,healthcare
Pizza delivery INR 20203 TXN3391bdf8,food
Parking fee INR 17282 TXNb9175795,travel
Grocery store bill INR 5464 TXNb19d851a,food
Gold bond purchase INR 15720 TXN3912a7c2,investment
Clothing store bill INR 9220 TXNbaf4660b,shopping
Metro card recharge INR 46235 TXN34bc9c85,travel
Study material purchase INR 34660 TXNa072ece2,education
